Команды для бота:,Ответы:
"Пиши "" хранитель ""
Узнай своего Демона - Покровителя.","Дагдарион. Это демон равнодушия и презрения, который отличается особенным спокойствием и терпением. Вам он дарует : крепкую выдержку и силу воли, безэмоциональность, умение копить, способность успешно вести собственный бизнес. Минусы покровительства Дагдариона - полностью поддавшись влиянию этого демона, можно стать черствым манипулятором или диктатором вовсе, который способен нажить себе только врагов. Чтобы избежать подобной участи, стоит развивать в себе эмпатию. Как вариант : можно заняться благотворительностью."
,"Адимирон. Это демонические существа, полуящеры, полульвы, хамелеоны и химеры. Очень волевые и непреклонные по характеру, их невозможно сломить. Этими же качествами Адимироны наделяют своих подопечных. Они дают силу воли, выдержку и целеустремленность. Львиная часть дает физическую силу, а рептилия - холодность и рациональность : они концентрируются на том, что полезно для дела, не уделяя внимание мелочам. Дают сильнейший инстинкт выживания. Негативная сторона - человек под влиянием такой демонической сущности может стать упрямым и абсолютно неконтактным, в результате потерять все связи с друзьями и близкими."
,"Обирирон. Он во всем любит порядок, властвует над временем : как замедляет, так и ускоряет его. Вам дарует : спокойствие и непоколебимость в любой ситуации, талант давать объективную оценку событиям в жизни, трудоголизм и выносливость. Минусы покровительства Обирирона - под его влиянием Вы медлительны и апатичны, часто уходите в себя, откуда выходите крайне редко. Чтобы избежать этого, стоит бороться с ленью и научиться принимать решения раньше поставленных сроков."
,"Целладимирон. Эти сущности выглядят как собаки с треугольными головами, адские псы или церберы. Это очень активные, беспокойные духи, которые могут дать много информации по любому вопросу, помогают увидеть любую ситуацию с разных сторон. Эти демоны дают способность договариваться, так, чтобы все остались довольны. Помогают человеку приспособиться к любому обществу. Негативное влияние этого демона может привести к тому, что человек кидается из крайности в крайность и никак не может найти себя. Присобавливаясь к другим то и дело, он может потерять собственный облик. Чтобы совладать с силой этих сущностей, нужно заниматься самопознанием, но не самокопанием."
,"Шехирирон. Это великолепный иллюзионист. Ему подвластно воплотить в жизнь любую мысль и фантазию. Вам он дарует : способность легко материализовать задуманное, сильную интуицию и предвидение, умение анализировать, молчать и слушать, делая нужные выводы. Минусы покровительства Шехирирона : способность этого демона материализовывать любые мысли и фантазии может сыграть злую шутку с человеком, ведь Темный наставник охотно воплотит в жизнь и негатив. Поэтому, если Вы не хотите проблем, работайте над самоконтролем, и старайтесь мыслить всегда позитивно."
,"Нехешитирон. Эти ужасные демоны выглядят, как дьявольские насекомые с человеческими головами. Это агрессивные и сильные создания, при этом совершенно безрассудные : действуя вместе, они сметают все на своем пути. Это - демоны разрушения, они умеют только это. Если человек идет не по своему пути, то они начинают активно разрушать его жизнь. Они могут сделать человека маньяком или психопатом, но могут также и помочь достичь внутренней трансформации, очень болезненным способом - через полное разрушение старой личности. Им не свойственна жалость, они повинуются лишь инстинкту. Чтобы совладать с силой, необходимо научиться слушать свое сердце."
,"Шелхабирон. Духи появляются как волки - оборотни, шакалы, помесь льва. По характеру они злобны и безжалостны. Их основные качества - агрессия и доминирование. Человеку они могут придать сил для особо сложных дел за пределами его возможностей. Например - сокрушить сильного врага. Вторая сторона демона - это реализация творческого потенциала. Они посылают человеку целый поток идей для творчества, которые он должен использовать. Сила, ярость и творческий огонь этих духов помогают подопечным ярче проявляться в этом мире, но они же могут сделать человека жестоким и бессердечным."
,"Байрирон. Это драконо - лев, он также может принимать форму джинна. Это активный, бесстрашный и жестокий демон. Он связан с темной материей. Помогает поднять подопечному боевой дух и дает стремление к завоеваниям, однако может сделать человека излишне агрессивным в общении. Демон стремится к абсолютной власти и может свести человека с ума, сделав одержимым манией величия. Он помогает обрести лидерские качества, свободу и непреклонность. Однако на слабого человека силы Байрирона действуют разрушительно. Чтобы совладать с этими силами, нужно развивать в себе самоконтроль с помощью йоги и медитации."
,"Вам покровительствует страстный Байрирон. Он наделяет Вас боевым духом, который толкает двигаться вперед, несмотря ни на что. Под его покровительством воспитываются только настоящие лидеры. Он дарит непреклонность и проницательность. Минусы его покровительства - Вы можете полностью поддаться страсти и агрессии, что начнет мешать Вам принимать правильные решения, из - за чего Вы можете терпеть неудачи. Чтобы Вас не засосало в это болото, стоит заниматься спортом и медитациями."
,"Шехирирон. Эти духи проявляются как демонические рептилии, насекомые, ракообразные. Могут при этом иметь человеческое лицо. Связаны со сферой сновидений. Эти демоны находятся под властью Лилит, выполняя ее прихоти. Человеку они помогают воплотить самые смелые фантазии в жизнь, но также дают и пустые хлопоты, навязчивые мысли, страхи и фобии. Если поссориться с этими демонами, можно приобрести бессоницу. Они питаются энергией человека, который наполовину спит, а наполовину бодрствует. Такое состояние называется "" просоночным "", оно очень полезно для визуализации своих желаний. Именно этот демон дает желаниям силу для воплощения."
,"Нешемирон. Это демон удачи и творчества. Он обаятельный, умный и целеустремленный. Умеет перемещаться в пространстве. Вам дарует : удачу во всех сферах деятельности, отличную фантазию и память, умение поддержать любую тему в разговоре."
,"Шелхабирон. Он наделен необыкновенной физической силой, а также выносливостью. Он очень агрессивен и обожает власть. Вам он дарует : мощные лидерские качества, выносливость на моральном и физическом уровне, творческие способности и умение доводить дело до конца, каким бы сложным оно не было. Минусы покровительства Шелхабирона - чрезмерная "" дружба "" с этим демоном превратит Вас в деспотичного агрессора и лишит эмпатии, что вредит человеку, желающему прогрессировать в социуме. Особенно в творческой профессии. Единственный выход - не поддаваться импульсам. Вам стоит работать над самоконтролем."
,"Цефарирон. Это самый проницательный демон из всех темных наставников. Его практически невозможно обмануть. Вам он дарует : умение чувствовать и видеть ложь, независимость от чужого мнения, проявление хладнокровия в любой ситуации. Минусы покровительства Цефарирона - поддавшись излишнему хладнокровию, Вы рискуете остаться в одиночестве из - за отсутствия каких - либо чувств к окружающей среде. Чтобы не терять эмоциональность, Вам стоит больше заниматься творчеством, спортом или любыми другими делами, которые могут принести Вам позитивные эмоции."
,"Нешемирон. Это демон удачи и творчества. Он обаятельный, умный и целеустремленный. Умеет перемещаться в пространстве. Вам дарует : удачу во всех сферах деятельности, отличную фантазию и память, умение поддержать любую тему в разговоре."
,"Адимирон - это очень сильный, умный и хладнокровный демон, который наделяет этими же качествами и Вас. Вы чувствуете себя спокойно в любой ситуации, логически мыслите на высшем уровне, имеете крепкое здоровье и проявляете упорство в осуществлении планов до самого конца. Минусы покровительства Адимирона - полностью подчинившись его влиянию, Вы можете уйти с головой в жадность и меркантильность, которые доведут Вас до духовной слепоты. Чтобы избежать подобной истории, Вам стоит, помимо материальных, ценить и духовные блага. В том числе не забывайте проявлять больше позитивных эмоций."
,"Нешемирон. Пороки, которые он сообщает - это пустые мечтания, безответственность и безхарактерность. Под властью этого демона человек может стать непризнанным гением. Этот демон выглядит как скелет, перевитый змеиными телами. Он легко меняет свою форму. Может выглядеть как женщина - змея или русалка, инкуб или суккуб. Он может дать лучшее понимание себя и лучше чувствовать других людей. Также он очень полезен для разгадки тайн и дает возможность исследовать глубины собственного бесмознательного."
,"Бехемирон. Тот самый зверь Апокалипсиса, на котором передвигается Сатана. Это не один демон, а множество демонов, имеющих определенный характерный облик. Они могут принимать облик : гиппопотама, кота, волка. Опасность этого демона в том, что он отрывает человека от реальности и погружает в иллюзии, при этом забирая его энергию. Во власти этого демона - посылать ночные кошмары, предсказания грядущих катастроф. Он дает силу интуиции и пророческий дар, помогает развивать ясновидение, а также помогает развить навыки оратора."
,"Шелхабирон. Он наделен необыкновенной физической силой, а также выносливостью. Он очень агрессивен и обожает власть. Вам он дарует : мощные лидерские качества, выносливость на моральном и физическом уровне, творческие способности и умение доводить дело до конца, каким бы сложным оно не было. Минусы покровительства Шелхабирона - чрезмерная "" дружба "" с этим демоном превратит Вас в деспотичного агрессора и лишит эмпатии, что вредит человеку, желающему прогрессировать в социуме. Особенно в творческой профессии. Единственный выход - не поддаваться импульсам. Вам стоит работать над самоконтролем."
,"Демонический ящер Нахаширон. Он самый целеустремленный и злопамятный. Своих врагов он найдет, где бы они не прятались, и уничтожит, не испытывая жалости. Думая о своей цели, этот демон может не спать и не есть годами. Своим подопечным дарует : неиссякаемый источник энергии для достижения цели, терпение и упорство, жажду знаний. Минусы покровительства Нахаширона - переизбыток энергии и постоянная жажда знаний может привести Вас к одержимости целью, а позднее - к безумию. Чтобы остаться здоровым, Вам необходимо заняться планированием, и научиться достигать цели постепенно, с перерывом на отдых."
,"Дагдарион. Обликом он подобен зубастой прожорливой рыбе, также может принять вид Черта. Этот демон холодности и равнодушия. Он придает Вам стойкости, но также делает Вас гордым, надменным и безэмоциональным человеком. Со временем делает Вас черствым к переживаниям к другим. В то же время, он дает силу выдержать чужие эмоции, не страдая от них, обеспечивает защиту от энергетического вампиризма. Этот Демон сам потребляет психическую энергию того, кому покровительствует. Дагдарион помогает в карьере. Для помощи нужно изготовить его символ и носить при себе."
,"Целладимирон. Это быстрый и выносливый демон с двумя или тремя головами. Все его сравнивают с демоническим псом Цербером. Он способен заниматься сразу несколькими делами. Дает Вам возможность быстро приспособиться к чему угодно и когда угодно, двуличие и ловкость, которые помогают легко обманывать, стремление к комфортным условиям и эгоизм, позволяющий добиваться желаемого быстро.
Минусы покровительства Целладимирона - поддавшись его влиянию, Вы рискуете потерять себя из - за частой смены масок. Так и до сумасшествия дойти можно. Чтобы противостоять этому демону, стоит лишь чаще вспоминать о законах мироздания, включать совесть и реже менять маски."
,"Цефарирон. Эти сущности выглядят особенно неприятно : наполовину живые, наполовину трупы. Они связаны с кладбищами и другими местами Смерти. Они срывают маски с любого и показывают внутреннюю суть всех вещей. Эти демоны наделяют честностью и беспристрастностью, равнодушием к мнению других людей. Также они учат выделять действительно важные вещи в любой ситуации. Они постоянно напоминают человеку, что перед лицом Смерти все проблемы мелочные и ничтожные. Их негативное влияние в том, что они делают человека безразличным к радостям жизни, могут ввергнуть в депрессию. Ведь только сильные духом готовы увидеть все вещи."
,"Обирирон. Это ужасные с виду духи, которые выглядят, как гоблины, големы и лепреконы. Эти духи наделяют человека стабильностью и помогают стать сбалансированным, чтобы добиться своей цели. Они имеют власть над временем и дают его столько, сколько нужно для достижения, желаемого. Их негативное влияние в том, что человек совершенно успокаивается и перестает предпринимать какие - то усилия, начинает думать, что все и так само получится. Благодаря качествам этих духов можно также обрести власть над эмоциями. Магу они дают спокойный, ясный рассудок во время магических операций."
,"Демон - богомол Нехешитирон. Он отличается хитростью и изворотливостью, практически неуловим, отчего его трудно уничтожить. Вам он дарует : способность возрождаться из пепла, умение подстраиваться под окружающую среду, уверенность в себе и победе. Минусы покровительства Нехешитирона : изворотливость этого демона, которую он передает Вам, это мешает жить в социуме полноценно. Вы, увлекшись своим успехом, зачастую забываете о чести, любви и дружбе. Чтобы не раствориться в себялюбии, стоит всегда помнить о светлых благах, иначе Вы рискуете остаться в одиночестве."